TrendID,ProductGroupID,TrendName,TrendDescription,StartDate,EndDate,MarketSegment,Region,TrendImpact,TrendScore,TrendSource
1,9,late,Eight how yeah choice pull authority.,2020-10-28,2024-02-18,trouble,Bolivia,0.39,78,Cooper PLC
2,35,small,Particularly whom wait month whether.,2020-12-26,2024-04-17,question,Ghana,0.96,62,Lopez-Smith
3,83,concern,Travel have bit little.,2023-12-08,2020-11-28,dinner,Guyana,0.26,53,Allen-Marshall
4,15,door,Customer end yard loss professional president.,2020-06-29,2021-08-29,happen,United Arab Emirates,0.4,42,"Moses, Taylor and Wood"
5,32,also,Glass interesting glass woman thus allow.,2021-11-22,2022-11-21,yard,Sri Lanka,0.29,73,"Greene, Ingram and Grant"
6,66,away,Customer seek science finish.,2024-03-11,2021-12-25,open,Japan,0.21,78,"Richardson, Clayton and Allen"
7,59,hair,Technology produce voice tax bit.,2021-04-24,2024-03-31,mind,Montserrat,0.66,19,"Cross, Tucker and Shaw"
8,95,property,Girl at customer.,2020-06-12,2023-06-23,evening,Indonesia,0.26,27,Warren LLC
9,43,deal,Rise everyone cover receive agency interesting order majority.,2023-06-14,2024-01-27,care,Isle of Man,0.7,65,"King, Khan and Martinez"
10,47,billion,Best both future learn most life.,2020-02-06,2022-02-24,lead,South Georgia and the South Sandwich Islands,0.83,76,"White, Hall and Ponce"
11,57,dream,Yes professional blue friend sing I into.,2024-04-26,2023-08-29,relate,Azerbaijan,0.32,70,Mills-Pollard
12,7,area,Have international tend relate moment.,2021-01-17,2021-06-10,less,Dominica,0.72,59,"Smith, Ramirez and Duarte"
13,82,run,Interest decade report.,2021-03-07,2024-02-21,cultural,Haiti,0.28,85,"Brown, Williams and Ali"
14,67,thank,Entire morning of democratic message first fire cover.,2020-10-26,2022-12-07,draw,Azerbaijan,0.58,44,Nelson-Ayers
15,90,wife,Top eat probably your grow.,2021-02-06,2023-07-31,artist,Lithuania,0.65,76,Conley-Delgado
16,100,soon,Would public enter enough international walk keep stock.,2022-04-24,2024-06-05,health,Lithuania,0.03,87,Foster-Sharp
17,20,from,Art money protect bit.,2024-05-04,2021-08-07,similar,Heard Island and McDonald Islands,0.87,93,Lane-Ross
18,5,from,Mean argue radio main clearly medical theory find.,2024-03-27,2022-06-23,recent,Peru,0.52,14,Snyder and Sons
19,48,second,Direction pay majority science whatever.,2020-04-08,2021-11-09,term,Libyan Arab Jamahiriya,0.29,11,Johnson-Roberts
20,78,box,Region itself right rule when big sell property.,2020-01-15,2023-08-29,condition,Turkey,0.07,19,Glass Ltd
21,22,decade,Lay significant effect environmental.,2024-01-14,2022-01-19,present,Somalia,0.4,13,Bailey Inc
22,44,measure,Deal sell real leg marriage base center part.,2020-09-10,2023-02-10,her,United States Virgin Islands,0.28,10,"Jackson, Green and Jones"
23,44,cold,Third leave green structure explain media can.,2020-10-12,2021-07-22,wonder,Honduras,0.68,87,Martinez-Benitez
24,89,theory,Scientist radio interview drop.,2023-11-16,2022-01-11,public,Western Sahara,0.99,75,Jackson Inc
25,67,cold,Dream away speak simply time carry.,2020-08-30,2023-11-02,management,Lesotho,0.7,71,Lopez and Sons
26,21,source,Point listen indicate along turn apply data.,2020-04-23,2022-10-08,area,Mongolia,0.16,89,"Norris, Wright and Rogers"
27,44,federal,Particular laugh million bad.,2020-03-14,2021-03-24,region,Sweden,0.91,14,Coleman-Flores
28,16,hospital,Chance sometimes another direction lay.,2021-06-16,2024-04-12,baby,Malaysia,0.59,56,"Bryant, Miller and Chaney"
29,7,hundred,Degree make meeting professor everybody.,2022-02-19,2023-01-30,woman,Vanuatu,0.3,91,Collins-Bell
30,54,trial,Manage it appear want.,2022-01-31,2023-10-09,father,Aruba,0.68,8,Allen-Perez
31,85,learn,Thousand whose technology quite size its.,2020-10-06,2021-02-17,court,Iceland,0.29,49,Munoz-Hudson
32,10,range,Then rich however human amount.,2022-01-14,2023-10-20,seek,United States Minor Outlying Islands,0.31,93,Chen LLC
33,58,seem,That free down good human front energy.,2024-03-09,2022-07-03,specific,Burundi,0.66,45,"Moore, Pope and Mcclure"
34,86,especially,Here marriage since ask run administration.,2022-06-01,2024-04-15,item,Suriname,0.57,93,Dixon-Phillips
35,48,laugh,Class huge more raise want power.,2023-05-28,2022-09-24,clear,Fiji,0.58,1,Hughes-Martin
36,48,determine,Apply thing protect.,2022-01-05,2023-06-03,everybody,Puerto Rico,0.9,60,Marsh Inc
37,32,little,Right crime relate job hard energy whatever.,2023-11-07,2022-12-18,father,Saint Martin,0.82,32,Silva-Alexander
38,81,movie,Wife statement care candidate attack.,2020-07-02,2020-07-31,next,Singapore,0.23,99,"Nelson, Hamilton and Graham"
39,16,how,High experience society leader history official act.,2020-05-05,2023-10-23,method,Turkey,0.14,39,"Tucker, Davis and Walter"
40,56,decide,Relationship number black hold somebody expect data between.,2024-02-13,2022-03-06,left,Solomon Islands,0.62,1,"Brown, Berry and Bryan"
41,13,interesting,Run short many impact effort war.,2022-05-09,2022-02-23,cultural,Saint Kitts and Nevis,0.38,73,"Snow, Mitchell and Erickson"
42,48,together,Song mission might why two.,2020-02-17,2023-03-07,rate,Congo,0.69,73,Manning Ltd
43,58,little,Figure small effect interesting.,2021-12-04,2022-06-27,sport,Bangladesh,0.37,41,Obrien Group
44,34,administration,Wife pressure clearly control.,2021-05-26,2022-02-07,leg,Macao,0.45,64,Roberts Ltd
45,55,argue,Find raise level once perform record.,2023-09-15,2020-08-27,buy,South Africa,0.76,65,Whitehead-Watson
46,77,by,Could determine anything budget.,2022-06-08,2023-10-06,about,Nicaragua,0.88,90,"Miller, Cross and Armstrong"
47,17,interesting,Bit provide trade as she bank.,2024-04-28,2024-05-29,there,Tajikistan,0.79,63,"Rodriguez, Maddox and Campbell"
48,46,agree,Behavior property one lay.,2020-06-06,2020-09-03,form,Fiji,0.14,43,Morton LLC
49,67,color,Nature finally full since behind.,2024-04-30,2022-06-28,by,Antarctica (the territory South of 60 deg S),0.46,73,"Fields, Pratt and Barker"
50,31,rise,Put past buy manager.,2023-01-08,2020-07-30,product,Bahamas,0.98,80,Green and Sons
51,52,many,Involve language only.,2021-09-14,2022-01-30,front,Vietnam,0.82,29,Baker Inc
52,65,family,Idea character thank recognize lead.,2022-12-17,2022-11-29,especially,Lesotho,0.56,28,Patton PLC
53,40,example,Daughter evening all tough amount probably few.,2023-10-21,2022-12-19,training,Niger,0.51,12,Scott Group
54,95,member,Save most expect west among light.,2020-03-08,2021-01-07,push,Malawi,0.65,17,"Bell, Perez and Mckee"
55,3,road,Decade surface window really see each expert.,2020-09-11,2022-11-15,report,Singapore,0.92,85,Butler-Wilson
56,34,ok,Tax improve glass letter.,2021-06-04,2023-12-05,tree,Western Sahara,0.92,77,Ortiz PLC
57,40,interview,Right deal avoid environment mind.,2021-04-18,2022-04-14,model,Monaco,0.84,51,"Robles, Smith and Rogers"
58,81,ground,Administration door girl.,2021-12-05,2023-06-09,resource,Yemen,0.71,87,"Newton, Davis and Smith"
59,48,source,Year several over test throw poor.,2020-10-29,2020-07-16,yeah,Romania,0.95,36,"Miller, Costa and King"
60,79,market,Choice yeah former.,2022-09-12,2022-12-12,seek,Malta,0.88,8,"Blackburn, Tran and Hill"
61,74,friend,Already accept lead.,2020-05-20,2022-03-28,heart,San Marino,0.58,34,"Watkins, White and Herman"
62,79,former,Lead fill suggest off character letter.,2023-07-17,2024-02-28,eye,Ireland,0.03,35,"Green, Nelson and Rodriguez"
63,7,rest,Artist of play decade heavy country.,2020-06-07,2022-05-26,world,Equatorial Guinea,0.07,84,"Parker, Crane and Wallace"
64,86,art,Brother nice soldier remember successful boy say.,2023-09-14,2023-04-27,beautiful,Tanzania,0.93,32,Turner LLC
65,58,specific,Under professional commercial recognize.,2022-02-05,2024-03-26,recent,Panama,0.71,19,Johnson Group
66,99,again,Hit nor company.,2021-12-05,2021-08-09,reach,Jamaica,0.11,10,Mccormick-Fox
67,66,material,Black end good tough third.,2023-06-15,2020-04-05,rest,Zimbabwe,0.06,46,Garner-Fuller
68,61,full,Win surface continue car.,2021-02-23,2023-04-10,leader,Gibraltar,0.75,52,"Carson, Wright and Smith"
69,91,recognize,Everybody include not affect they create.,2020-09-12,2020-03-07,economy,San Marino,0.27,56,Allen-Gutierrez
70,75,hospital,Western ahead news style.,2023-01-14,2023-08-19,growth,Palestinian Territory,0.23,98,Nelson-King
71,6,east,Get national side agency.,2023-02-18,2023-05-23,discuss,Tokelau,0.91,8,Meyer LLC
72,51,marriage,Increase player change sister particularly finish.,2022-10-23,2022-06-22,century,Lao People's Democratic Republic,0.15,98,Nash-Hubbard
73,6,type,Coach member model film arm.,2021-05-01,2023-06-16,too,Saudi Arabia,0.78,15,Crawford PLC
74,45,evening,Here suddenly pass least.,2022-05-20,2020-07-04,laugh,United States Virgin Islands,0.9,93,Adkins-Bradshaw
75,48,get,Toward not on plant start bring pick.,2022-04-13,2020-10-04,quickly,Cyprus,0.73,98,"Gomez, Hudson and Hobbs"
76,29,image,Series head reach great meet pick.,2022-01-25,2022-05-04,single,Mongolia,0.06,83,Lewis-Miller
77,74,voice,Situation camera stand least wide husband.,2021-12-02,2023-06-02,more,Guyana,0.15,68,"Jimenez, Kirby and Wong"
78,49,might,Body myself however someone better water.,2020-08-19,2020-11-28,clearly,United Kingdom,0.26,39,"Davis, Davis and Spencer"
79,77,sing,Form big hear fire coach develop network.,2020-05-28,2022-06-09,continue,Costa Rica,0.76,54,"Wagner, Phillips and Allen"
80,78,well,Protect question fish.,2022-05-13,2022-07-25,trial,Guinea-Bissau,0.07,41,Sanchez PLC
81,95,letter,Professor course six teacher security personal loss.,2020-08-01,2022-04-01,trouble,Croatia,0.33,63,Hall Ltd
82,97,set,Discuss apply relate face grow popular.,2023-03-07,2022-10-25,allow,Kyrgyz Republic,0.79,98,"Smith, Keller and Eaton"
83,7,most,Job parent head discover officer.,2023-08-31,2023-10-09,whose,France,0.5,35,"Lowe, Roach and Hunter"
84,44,relationship,Whom provide maintain participant consumer couple newspaper.,2020-01-31,2020-02-26,husband,French Southern Territories,0.95,43,Singh PLC
85,63,these,Maintain performance bag result thus.,2020-07-13,2021-06-18,consumer,Chad,0.46,10,"Williams, Clarke and Boyd"
86,84,community,Structure green too old institution big.,2023-11-20,2021-04-04,manage,Kiribati,0.26,32,Joyce-Blake
87,29,every,Anyone challenge sea term only method.,2020-11-11,2023-05-30,measure,Benin,0.33,74,Lindsey-Gomez
88,60,soon,Try agree table.,2021-11-13,2022-05-08,decide,Bahrain,0.16,17,Tate LLC
89,72,serious,Congress key me whole husband check window.,2022-09-21,2021-05-11,than,Svalbard & Jan Mayen Islands,0.64,66,Coleman-Fletcher
90,13,tree,Candidate guess dark itself employee official wait lay.,2022-07-14,2023-10-02,major,Kenya,0.34,63,Snyder Ltd
91,2,protect,Article mean new management seven.,2024-02-02,2024-05-27,parent,Faroe Islands,0.1,6,Barker PLC
92,61,interesting,Summer sport marriage international leave even.,2020-07-06,2020-11-01,easy,Liberia,0.79,92,Anderson Inc
93,87,six,Environmental involve sure knowledge.,2024-04-28,2022-12-20,forward,Reunion,0.35,26,Todd-Simpson
94,99,human,Physical letter condition blood leader else wonder.,2024-02-13,2020-08-28,positive,Morocco,0.32,60,Martin LLC
95,94,treat,However old describe interview bed week.,2024-03-29,2020-05-01,charge,Tuvalu,0.93,49,Nguyen Inc
96,81,sing,Reveal toward red best.,2020-12-09,2021-01-17,safe,Argentina,0.69,54,Beasley PLC
97,86,then,Thought scientist media remember the compare.,2023-05-17,2023-09-23,different,Dominican Republic,0.13,24,"Williams, Sanchez and Welch"
98,69,market,Page understand off quickly allow degree.,2023-12-22,2020-04-16,economic,Gabon,0.71,13,Woodard-Smith
99,60,key,Risk particularly shake decision east thought offer.,2021-01-21,2021-11-03,without,American Samoa,0.42,58,"Atkinson, Johnson and Black"
100,28,season,Rise think leg us respond.,2021-09-18,2022-07-26,six,Brazil,0.13,17,Brooks-Smith
101,51,skill,Very crime mean into a their reveal understand.,2022-11-14,2020-11-06,order,Iceland,0.88,48,Mendoza-King
102,49,avoid,Heavy quickly we among rather.,2023-06-20,2020-12-05,treatment,Netherlands Antilles,0.34,28,"Henry, Ray and Bailey"
103,75,shoulder,Child management exist.,2023-06-02,2021-08-12,question,Zambia,0.53,95,Waters Ltd
104,100,themselves,Society top quite.,2021-10-15,2020-10-17,herself,Peru,0.68,61,Johnson Ltd
105,13,piece,Say admit become particular base education.,2021-04-27,2022-12-11,woman,Bermuda,1.0,57,Howe-Coleman
106,23,TV,Baby likely statement claim tonight.,2022-05-02,2024-02-25,away,Cote d'Ivoire,0.87,8,Williams-Edwards
107,21,through,Society particular suggest food question institution.,2023-05-17,2022-10-22,able,Sweden,0.44,61,Brown-Davis
108,65,bag,Officer produce leader too.,2022-11-13,2023-10-10,movie,United States of America,0.05,74,"Rodriguez, Gutierrez and Johnson"
109,52,event,Always style theory often.,2022-02-14,2022-02-28,interest,Wallis and Futuna,0.17,3,Stein Inc
110,16,employee,New subject their teach respond dinner.,2023-11-27,2023-01-27,space,Macedonia,0.57,62,Fisher-Schwartz
111,65,send,Expert fight practice follow.,2020-09-06,2022-05-16,actually,Wallis and Futuna,0.68,92,Johnson-Armstrong
112,4,wonder,Stock rock race discussion type economy anything.,2022-01-25,2022-08-07,feel,Ireland,0.57,42,"Thomas, Guerrero and Smith"
113,28,walk,Event clear politics include necessary team.,2020-11-11,2022-05-12,while,Romania,0.41,65,Brown-Stephens
114,79,establish,Manage worker hold issue during leader.,2021-02-05,2021-08-20,tree,Saint Barthelemy,0.81,76,"Branch, Johnson and Griffin"
115,95,few,Seek similar face concern.,2023-05-20,2023-11-20,politics,Egypt,0.13,54,Gonzalez-Simpson
116,75,challenge,Benefit building make age.,2022-11-03,2021-03-26,around,Botswana,0.25,7,Duffy Ltd
117,42,threat,Anything fund speech size make theory.,2022-04-30,2021-04-22,play,Jamaica,0.88,95,Garcia-Walker
118,43,morning,Think military down he require strong.,2022-05-11,2023-02-03,do,Egypt,0.83,49,Walker-Patterson
119,18,crime,After well form sound material mission.,2023-02-27,2020-04-26,cup,Central African Republic,0.79,6,Moore Group
120,48,create,Five per run laugh clearly common look support.,2021-11-30,2020-12-19,past,Bosnia and Herzegovina,0.9,70,Reilly Group
121,43,name,Bar hold according.,2023-08-10,2024-03-12,worry,Micronesia,0.17,1,Powell LLC
122,4,lay,Mention risk near month early assume stage.,2020-04-10,2023-11-18,time,Ghana,0.67,92,"Long, Gomez and Wagner"
123,47,decision,Suggest western quality take artist television.,2022-09-25,2023-07-25,all,Ireland,0.63,18,Short LLC
124,3,occur,Lead travel however get large kitchen focus.,2020-04-20,2023-10-06,morning,Nicaragua,0.53,58,Smith-Buchanan
125,57,support,Art minute machine hair station college.,2023-03-05,2023-03-30,out,Qatar,0.46,38,Griffin-Harris
126,95,huge,Law seem small technology smile reduce.,2021-11-01,2020-02-03,run,Luxembourg,0.72,42,Smith-Gallagher
127,32,none,Field bring health cost.,2022-06-18,2024-03-14,consider,Svalbard & Jan Mayen Islands,0.36,82,Myers-Jensen
128,83,focus,Agent always art prepare only section.,2021-10-29,2023-06-15,police,United Arab Emirates,1.0,35,Tucker-Stevens
129,28,chance,Lot financial theory if activity subject.,2024-01-02,2023-09-29,usually,Aruba,0.32,6,Jackson-Spencer
130,24,direction,Him final give however.,2023-01-26,2024-05-31,which,Malaysia,0.57,84,"Maldonado, Brown and Ortega"
131,47,continue,Whom reflect could when.,2021-05-12,2020-12-25,image,Cambodia,0.03,42,Flores-Cobb
132,92,century,That common game participant now major.,2020-10-24,2022-03-10,unit,Ethiopia,0.34,27,"Smith, Frederick and Chavez"
133,14,the,Suddenly should floor last.,2021-04-24,2024-01-29,artist,Pitcairn Islands,0.05,15,Robinson LLC
134,82,final,Deal kid door sea.,2020-01-20,2021-09-23,visit,Tuvalu,0.6,39,Hill-York
135,96,free,If laugh experience if product better seven.,2021-05-02,2020-04-01,role,Nauru,0.85,33,Evans Inc
136,80,ahead,Enough entire we billion civil break.,2022-08-07,2022-09-23,drive,Nauru,0.16,9,Torres-Williams
137,57,call,Ask consumer onto political.,2022-01-01,2021-06-05,present,Kuwait,0.76,75,Ali Ltd
138,56,so,Threat not audience too after old buy.,2021-07-02,2021-11-21,policy,Finland,0.76,83,Bishop PLC
139,15,physical,Though kid teach father court.,2021-02-26,2021-09-25,again,Palau,0.73,47,Ortiz-Keller
140,31,hope,Senior good decade yes.,2022-08-04,2022-07-03,everything,Korea,0.51,79,Anderson PLC
141,20,wife,Couple win finally girl east before.,2020-06-13,2020-01-04,compare,Peru,0.32,92,Ferguson Inc
142,62,develop,All Congress month account above.,2022-05-18,2021-03-22,one,Thailand,0.2,11,Holmes-Boyer
143,46,current,Administration oil Republican act high student use him.,2020-08-08,2020-07-17,exist,United Arab Emirates,0.26,69,"Moody, Martinez and Garner"
144,82,mother,Book address claim thus social edge.,2021-02-24,2023-10-08,heart,Palau,0.85,25,Gray PLC
145,97,less,Manage line discover week best weight couple.,2020-11-10,2024-03-14,oil,Madagascar,0.75,8,Morrow Group
146,59,maintain,Only program heart any political skin.,2021-01-28,2020-06-18,as,Cook Islands,0.36,24,Morales-Harris
147,84,cup,Pattern experience focus record computer myself.,2022-10-10,2023-04-23,science,Ireland,0.11,57,Diaz Group
148,48,easy,Executive above information nearly low across order.,2023-03-11,2022-02-15,what,Netherlands,0.74,4,"Price, Ward and Stewart"
149,13,sell,One way specific stop.,2023-04-15,2023-08-22,green,Marshall Islands,0.53,37,Perez Group
